Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Importance categorization,6917d7e167b86e562032b285,0.4910371861202089,0.6666666666666666,0.7777777777777778,0.7777777777777778,2,w/ XAI,importance,8.444371479818749,2,-3.0546256547174435,wine_quality,,
Importance categorization,675b1432a3f788b0222e5237,0.15232966334286765,0.6666666666666666,0.9444444444444444,0.6111111111111112,2,w/ XAI,importance,21.1743126030724,1,-2.4800713104125536,forest_cover,,
Importance categorization,6632bae865d316c32325fda1,0.6161308269755069,0.5,0.4444444444444444,0.9444444444444444,2,w/ XAI,importance,42.30380899752354,5,-2.3396019705753437,wine_quality,,
Importance categorization,68c47a59387d8e5258c84ba4,0.5776226502832877,0.4444444444444444,0.5555555555555556,0.6666666666666666,2,w/ XAI,importance,52.17532137299073,5,-1.5,wine_quality,,
Importance categorization,69418dd5c757560f07febe8d,0.6937332009909801,0.6666666666666666,0.6666666666666666,1.0,2,w/ XAI,importance,1.0,1,-2.444384953285073,wine_quality,,
Importance categorization,663e6a6264c97be0281cd6f8,0.5391144735910686,0.7222222222222222,0.4444444444444444,0.3888888888888889,2,w/ XAI,importance,67.57916138684303,1,-1.641720122303726,wine_quality,,
Importance categorization,691e0937b2321e8ee4c87608,0.533654675143002,0.6111111111111112,0.7222222222222222,0.5555555555555556,2,w/ XAI,importance,6.501502248535373,2,-2.9804664888804595,forest_cover,,
Importance categorization,69443088d8ebe0e4b0ba83ee,0.38508176682222106,0.6666666666666666,0.7777777777777778,0.4444444444444444,2,w/ XAI,importance,81.25066607409914,3,-4.0,forest_cover,,
Importance categorization,69440e813f2bcaeeea40874c,0.6723260450033965,0.5555555555555556,0.6111111111111112,0.5,2,w/ XAI,importance,1.0,5,-2.362605930255279,wine_quality,,
Importance categorization,69419eee71482f9cdb398614,0.6102202398647805,0.6666666666666666,0.7777777777777778,0.8888888888888888,2,w/ XAI,importance,1.0,1,-4.0,wine_quality,,
Importance categorization,67306cb03ff706c72e58bba0,0.5749067825776145,0.7222222222222222,0.5555555555555556,0.5,2,w/ XAI,importance,1.0,1,-2.3793198189570655,forest_cover,,
Importance categorization,69419e9576aea13f332266ff,0.523073653955332,0.7222222222222222,0.8333333333333334,0.5555555555555556,2,w/ XAI,importance,5.384809150252069,2,-3.7272373017695553,forest_cover,,
